id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,budget,imdb_id,original_language
109445,Frozen,7.2,15520,Released,20/11/2013,1274219009,102,False,150000000,tt2294629,en
374720,Dunkirk,7.456,15464,Released,19/07/2017,527000000,107,False,150000000,tt5013056,en
269149,Zootopia,7.748,15230,Released,11/02/2016,1023784195,109,False,150000000,tt2948356,en
240832,Lucy,6.44,15181,Released,25/07/2014,458863600,89,False,40000000,tt2872732,en
329,Jurassic Park,7.941,15141,Released,11/06/1993,920100000,127,False,63000000,tt0107290,en
274,The Silence of the Lambs,8.3,15003,Released,14/02/1991,272742922,119,False,19000000,tt0102926,en
129,Spirited Away,8.539,14913,Released,20/07/2001,274925095,125,False,19000000,tt0245429,ja
321612,Beauty and the Beast,6.967,14871,Released,16/03/2017,1266115964,129,False,160000000,tt2771200,en
58,Pirates of the Caribbean: Dead Man's Chest,7.346,14868,Released,6/07/2006,1065659812,151,False,200000000,tt0383574,en
177572,Big Hero 6,7.738,14732,Released,24/10/2014,657827828,102,False,165000000,tt2245084,en
75656,Now You See Me,7.345,14726,Released,29/05/2013,351723989,116,False,75000000,tt1670345,en
131631,The Hunger Games: Mockingjay - Part 1,6.796,14725,Released,19/11/2014,755356711,123,False,125000000,tt1951265,en
335983,Venom,6.826,14724,Released,28/09/2018,856085151,112,False,116000000,tt1270797,en
1124,The Prestige,8.203,14696,Released,19/10/2006,109676311,130,False,40000000,tt0482571,en
6479,I Am Legend,7.201,14675,Released,12/12/2007,585410052,101,False,150000000,tt0480249,en
857,Saving Private Ryan,8.209,14658,Released,24/07/1998,481840909,169,False,70000000,tt0120815,en
299537,Captain Marvel,6.843,14657,Released,6/03/2019,1131416446,124,False,152000000,tt4154664,en
339403,Baby Driver,7.5,14634,Released,28/06/2017,226945087,113,False,34000000,tt3890160,en
424,Schindler's List,8.573,14594,Released,15/12/1993,321365567,195,False,22000000,tt0108052,en
1892,Return of the Jedi,7.892,14591,Released,25/05/1983,572700000,132,False,32350000,tt0086190,en
429617,Spider-Man: Far From Home,7.447,14495,Released,28/06/2019,1131927996,129,False,160000000,tt6320628,en
37724,Skyfall,7.227,14466,Released,24/10/2012,1142471295,143,False,200000000,tt1074638,en
49047,Gravity,7.162,14463,Released,3/10/2013,723192705,91,False,105000000,tt1454468,en
127585,X-Men: Days of Future Past,7.5,14433,Released,15/05/2014,747862775,132,False,250000000,tt1877832,en
333339,Ready Player One,7.6,14430,Released,28/03/2018,607274134,140,False,175000000,tt1677720,en
72190,World War Z,6.807,14409,Released,20/06/2013,531865000,116,False,200000000,tt0816711,en
640,Catch Me If You Can,7.971,14393,Released,16/12/2002,352114312,141,False,52000000,tt0264464,en
330459,Rogue One: A Star Wars Story,7.488,14354,Released,14/12/2016,1056057273,133,False,200000000,tt3748528,en
181808,Star Wars: The Last Jedi,6.825,14312,Released,13/12/2017,1332698830,152,False,200000000,tt2527336,en
49521,Man of Steel,6.614,14310,Released,12/06/2013,668045518,143,False,225000000,tt0770828,en
20352,Despicable Me,7.227,14147,Released,8/07/2010,533679475,95,False,69000000,tt1323594,en
558,Spider-Man 2,7.258,14096,Released,25/06/2004,788976453,127,False,200000000,tt0316654,en
324857,Spider-Man: Into the Spider-Verse,8.404,14024,Released,6/12/2018,375464627,117,False,90000000,tt4633694,en
118,Charlie and the Chocolate Factory,7.04,13967,Released,13/07/2005,474968763,115,False,150000000,tt0367594,en
244786,Whiplash,8.381,13891,Released,10/10/2014,13092000,107,False,3300000,tt2582802,en
1422,The Departed,8.166,13792,Released,4/10/2006,291465000,151,False,90000000,tt0407887,en
120467,The Grand Budapest Hotel,8.049,13787,Released,26/02/2014,174600318,100,False,30000000,tt2278388,en
10193,Toy Story 3,7.792,13777,Released,16/06/2010,1066969703,103,False,200000000,tt0435761,en
77,Memento,8.188,13723,Released,11/10/2000,39723096,113,False,9000000,tt0209144,en
38,Eternal Sunshine of the Spotless Mind,8.101,13709,Released,19/03/2004,72258126,108,False,20000000,tt0338013,en
101,L?on: The Professional,8.316,13652,Released,14/09/1994,45284974,111,False,16000000,tt0110413,en
44214,Black Swan,7.672,13567,Released,3/12/2010,329398046,108,False,13000000,tt0947798,en
752,V for Vendetta,7.897,13556,Released,23/02/2006,132511035,132,False,54000000,tt0434409,en
1893,Star Wars: Episode I - The Phantom Menace,6.5,13550,Released,19/05/1999,924317558,136,False,115000000,tt0120915,en
152601,Her,7.862,13407,Released,18/12/2013,47351251,126,False,23000000,tt1798709,en
285,Pirates of the Caribbean: At World's End,7.239,13345,Released,19/05/2007,961000000,169,False,300000000,tt0449088,en
122917,The Hobbit: The Battle of the Five Armies,7.309,13301,Released,10/12/2014,956019788,144,False,250000000,tt2310332,en
500,Reservoir Dogs,8.132,13296,Released,2/09/1992,2859750,99,False,1200000,tt0105236,en
273248,The Hateful Eight,7.746,13291,Released,25/12/2015,155760117,188,False,44000000,tt3460252,en
348,Alien,8.147,13206,Released,25/05/1979,104931801,117,False,11000000,tt0078748,en
10528,Sherlock Holmes,7.202,13170,Released,23/12/2009,524028679,129,False,90000000,tt0988045,en
12155,Alice in Wonderland,6.627,13149,Released,3/03/2010,1025467110,108,False,200000000,tt1014759,en
1865,Pirates of the Caribbean: On Stranger Tides,6.538,13126,Released,15/05/2011,1045713802,137,False,379000000,tt1298650,en
559,Spider-Man 3,6.398,13098,Released,1/05/2007,894983373,139,False,258000000,tt0413300,en
447332,A Quiet Place,7.396,13079,Released,3/04/2018,341000000,91,False,17000000,tt6644200,en
297802,Aquaman,6.9,12965,Released,7/12/2018,1148528393,143,False,160000000,tt1477834,en
393,Kill Bill: Vol. 2,7.876,12916,Released,16/04/2004,152159461,136,False,30000000,tt0378194,en
920,Cars,6.936,12906,Released,8/06/2006,461983149,117,False,120000000,tt0317219,en
863,Toy Story 2,7.589,12904,Released,30/10/1999,497366869,92,False,90000000,tt0120363,en
607,Men in Black,7.184,12836,Released,2/07/1997,589390539,98,False,90000000,tt0119654,en
137113,Edge of Tomorrow,7.606,12828,Released,27/05/2014,370541256,114,False,178000000,tt1631867,en
1271,300,7.175,12812,Released,7/03/2007,456082343,117,False,65000000,tt0416449,en
353486,Jumanji: Welcome to the Jungle,6.827,12796,Released,9/12/2017,995339117,119,False,90000000,tt2283362,en
78,Blade Runner,7.931,12770,Released,25/06/1982,41722424,118,False,28000000,tt0083658,en
1895,Star Wars: Episode III - Revenge of the Sith,7.411,12753,Released,17/05/2005,850000000,140,False,113000000,tt0121766,en
324786,Hacksaw Ridge,8.195,12668,Released,7/10/2016,175302354,139,False,40000000,tt2119532,en
8966,Twilight,6.286,12638,Released,20/11/2008,393616788,122,False,37000000,tt1099212,en
62177,Brave,7.012,12591,Released,21/06/2012,538983207,93,False,185000000,tt1217209,en
363088,Ant-Man and the Wasp,6.951,12512,Released,4/07/2018,622674139,119,False,140000000,tt5095030,en
102651,Maleficent,7.09,12477,Released,28/05/2014,758539785,97,False,180000000,tt1587310,en
274870,Passengers,6.934,12429,Released,21/12/2016,303144152,116,False,110000000,tt1355644,en
87827,Life of Pi,7.398,12426,Released,20/11/2012,609016565,127,False,120000000,tt0454876,en
264660,Ex Machina,7.572,12362,Released,21/01/2015,36869414,108,False,15000000,tt0470752,en
102382,The Amazing Spider-Man 2,6.498,12349,Released,16/04/2014,708962323,141,False,200000000,tt1872181,en
335984,Blade Runner 2049,7.544,12331,Released,4/10/2017,259239658,164,False,150000000,tt1856101,en
425,Ice Age,7.348,12296,Released,10/03/2002,383257136,81,False,59000000,tt0268380,en
1894,Star Wars: Episode II - Attack of the Clones,6.6,12288,Released,15/05/2002,649398328,142,False,120000000,tt0121765,en
141052,Justice League,6.098,12263,Released,15/11/2017,657926987,120,False,300000000,tt0974015,en
57158,The Hobbit: The Desolation of Smaug,7.57,12255,Released,11/12/2013,958400000,161,False,250000000,tt1170358,en
466272,Once Upon a Time? in Hollywood,7.437,12237,Released,24/07/2019,374251247,162,False,95000000,tt7131622,en
637,Life Is Beautiful,8.455,12218,Released,20/12/1997,230098753,116,False,20000000,tt0118799,it
246655,X-Men: Apocalypse,6.513,12215,Released,18/05/2016,543934787,144,False,178000000,tt3385516,en
194662,Birdman or (The Unexpected Virtue of Ignorance),7.471,12157,Released,17/10/2014,103215094,120,False,18000000,tt2562232,en
157350,Divergent,6.92,12118,Released,14/03/2014,288885818,139,False,85000000,tt1840309,en
190859,American Sniper,7.427,12107,Released,25/12/2014,542307423,133,False,58800000,tt2179136,en
10191,How to Train Your Dragon,7.813,12089,Released,18/03/2010,494879471,98,False,165000000,tt0892769,en
260513,Incredibles 2,7.481,12061,Released,14/06/2018,1242805359,118,False,200000000,tt3606756,en
162,Edward Scissorhands,7.716,12049,Released,7/12/1990,53000000,105,False,20000000,tt0099487,en
324552,John Wick: Chapter 2,7.323,12007,Released,8/02/2017,171539887,122,False,40000000,tt4425200,en
49538,X-Men: First Class,7.296,11986,Released,1/06/2011,353624124,132,False,160000000,tt1270798,en
185,A Clockwork Orange,8.2,11946,Released,19/12/1971,26589000,137,False,2200000,tt0066921,en
4922,The Curious Case of Benjamin Button,7.579,11899,Released,25/12/2008,335802786,166,False,150000000,tt0421715,en
218,The Terminator,7.646,11874,Released,26/10/1984,78371200,108,False,6400000,tt0088247,en
165,Back to the Future Part II,7.752,11817,Released,22/11/1989,332000000,108,False,40000000,tt0096874,en
280,Terminator 2: Judgment Day,8.104,11744,Released,3/07/1991,520000000,137,False,102000000,tt0103064,en
769,GoodFellas,8.464,11726,Released,12/09/1990,46835000,145,False,25000000,tt0099685,en
64690,Drive,7.572,11718,Released,15/09/2011,78054825,100,False,15000000,tt0780504,en
68726,Pacific Rim,6.878,11567,Released,11/07/2013,411002906,131,False,180000000,tt1663662,en
131634,The Hunger Games: Mockingjay - Part 2,6.9,11557,Released,18/11/2015,653428261,137,False,160000000,tt1951266,en
82690,Wreck-It Ralph,7.3,11546,Released,1/11/2012,471222889,101,False,165000000,tt1772341,en
141,Donnie Darko,7.8,11515,Released,24/10/2001,7500000,114,False,6000000,tt0246578,en
72105,Ted,6.407,11513,Released,29/06/2012,549368315,107,False,50000000,tt1637725,en
64682,The Great Gatsby,7.379,11505,Released,9/05/2013,351040419,143,False,105000000,tt1343092,en
277834,Moana,7.6,11502,Released,13/10/2016,690860472,107,False,150000000,tt3521164,en
399055,The Shape of Water,7.247,11490,Released,1/12/2017,195333312,123,False,19500000,tt5580390,en
85,Raiders of the Lost Ark,7.924,11483,Released,12/06/1981,389925971,115,False,18000000,tt0082971,en
19908,Zombieland,7.3,11466,Released,7/10/2009,102391540,88,False,23600000,tt1156398,en
127380,Finding Dory,7.042,11429,Released,16/06/2016,1028570889,97,False,200000000,tt2277860,en
296096,Me Before You,7.918,11414,Released,1/06/2016,207945075,110,False,20000000,tt2674426,en
530915,1917,7.99,11395,Released,25/12/2019,394638258,119,False,100000000,tt8579674,en
398818,Call Me by Your Name,8.167,11367,Released,1/09/2017,43143046,132,False,4000000,tt5726616,en
82693,Silver Linings Playbook,7.13,11327,Released,16/11/2012,236412453,122,False,21000000,tt1045658,en
809,Shrek 2,7.249,11323,Released,19/05/2004,928760770,93,False,150000000,tt0298148,en
14161,2012,5.819,11300,Released,10/10/2009,791217826,158,False,200000000,tt1190080,en
240,The Godfather Part II,8.591,11293,Released,20/12/1974,102600000,202,False,13000000,tt0071562,en
14,American Beauty,8,11260,Released,15/09/1999,356296601,122,False,15000000,tt0169547,en
70981,Prometheus,6.535,11255,Released,30/05/2012,403354469,124,False,130000000,tt1446714,en
37799,The Social Network,7.358,11190,Released,1/10/2010,224920315,121,False,40000000,tt1285016,en
166426,Pirates of the Caribbean: Dead Men Tell No Tales,6.648,11176,Released,23/05/2017,795922298,128,False,230000000,tt1790809,en
546554,Knives Out,7.847,11156,Released,27/11/2019,312897920,131,False,40000000,tt8946378,en
489,Good Will Hunting,8.149,11111,Released,5/12/1997,225933435,127,False,10000000,tt0119217,en
216015,Fifty Shades of Grey,5.882,11101,Released,11/02/2015,571006128,125,False,40000000,tt2322441,en
350,The Devil Wears Prada,7.384,11089,Released,29/06/2006,326706115,109,False,35000000,tt0458352,en
103,Taxi Driver,8.2,11081,Released,9/02/1976,28600000,114,False,1900000,tt0075314,en
332562,A Star Is Born,7.503,11079,Released,3/10/2018,433888866,136,False,36000000,tt1517451,en
228150,Fury,7.518,11021,Released,15/10/2014,211817906,135,False,68000000,tt2713180,en
1724,The Incredible Hulk,6.204,11006,Released,12/06/2008,163712074,114,False,150000000,tt0800080,en
23483,Kick-Ass,7.12,10997,Released,22/03/2010,96188903,117,False,28000000,tt1250777,en
2048,I, Robot,6.939,10972,Released,15/07/2004,347234916,115,/lOXVbF2mBK0xUt8sLInF3TIk5YS.jpg,,tt0343818
6977,No Country for Old Men,7.933,10964,Released,13/06/2007,171627166,122,False,25000000,tt0477348,en
61791,Rise of the Planet of the Apes,7.289,10799,Released,3/08/2011,482860185,105,False,93000000,tt1318514,en
161,Ocean's Eleven,7.43,10774,Released,7/12/2001,450717150,116,False,85000000,tt0240772,en
745,The Sixth Sense,7.944,10754,Released,6/08/1999,672806292,107,False,40000000,tt0167404,en
194,Am?lie,7.905,10750,Released,25/04/2001,173921954,122,False,10000000,tt0211915,fr
111,Scarface,8.168,10749,Released,9/12/1983,66023329,169,False,25000000,tt0086250,en
146233,Prisoners,8.091,10748,Released,19/09/2013,122126687,153,False,46000000,tt1392214,en
73,American History X,8.352,10729,Released,1/07/1998,23875127,119,False,20000000,tt0120586,en
138843,The Conjuring,7.541,10683,Released,18/07/2013,320406242,112,False,13000000,tt1457767,en
222935,The Fault in Our Stars,7.598,10655,Released,16/05/2014,307166834,126,False,14000000,tt2582846,en
11036,The Notebook,7.88,10629,Released,25/06/2004,115603229,123,False,29000000,tt0332280,en
76203,12 Years a Slave,7.945,10603,Released,18/10/2013,187000000,134,False,20000000,tt2024544,en
62,2001: A Space Odyssey,8.076,10575,Released,2/04/1968,71923560,149,False,12000000,tt0062622,en
49530,In Time,6.953,10556,Released,27/10/2011,173930596,109,False,40000000,tt1637688,en
812,Aladdin,7.645,10547,Released,25/11/1992,504050219,95,False,28000000,tt0103639,en
490132,Green Book,8.242,10542,Released,16/11/2018,319700000,130,False,23000000,tt6966692,en
38757,Tangled,7.599,10539,Released,24/11/2010,592461732,100,False,260000000,tt0398286,en
8358,Cast Away,7.662,10531,Released,22/12/2000,429632142,143,False,90000000,tt0162222,en
36657,X-Men,6.996,10530,Released,13/07/2000,296339527,104,False,75000000,tt0120903,en
93456,Despicable Me 2,6.916,10523,Released,26/06/2013,970761885,98,False,76000000,tt1690953,en
9502,Kung Fu Panda,7.24,10503,Released,4/06/2008,631744560,90,False,130000000,tt0441773,en
1858,Transformers,6.8,10477,Released,27/06/2007,709709780,143,False,150000000,tt0418279,en
601,E.T. the Extra-Terrestrial,7.512,10467,Released,11/06/1982,792965500,115,False,10500000,tt0083866,en
8681,Taken,7.387,10432,Released,18/02/2008,226830568,94,False,25000000,tt0936501,en
351286,Jurassic World: Fallen Kingdom,6.548,10431,Released,22/06/2018,1310466296,129,False,170000000,tt4881806,en
115,The Big Lebowski,7.842,10390,Released,6/03/1998,47010480,117,False,15000000,tt0118715,en
119450,Dawn of the Planet of the Apes,7.306,10321,Released,26/06/2014,710644566,130,False,170000000,tt2103281,en
207,Dead Poets Society,8.312,10311,Released,2/06/1989,235860116,128,False,16400000,tt0097165,en
372058,Your Name.,8.514,10303,Released,26/08/2016,357986087,106,False,0,tt5311514,ja
338952,Fantastic Beasts: The Crimes of Grindelwald,6.876,10203,Released,14/11/2018,654855901,134,False,200000000,tt4123430,en
562,Die Hard,7.775,10202,Released,15/07/1988,140767956,131,False,28000000,tt0095016,en
291805,Now You See Me 2,6.83,10172,Released,2/06/2016,334901337,129,False,90000000,tt3110958,en
771,Home Alone,7.412,10140,Released,16/11/1990,476684675,103,False,18000000,tt0099785,en
604,The Matrix Reloaded,7.039,10128,Released,15/05/2003,738599701,138,False,150000000,tt0234215,en
953,Madagascar,6.892,10103,Released,25/05/2005,542063846,86,False,75000000,tt0351283,en
266856,The Theory of Everything,7.86,10069,Released,26/11/2014,123726688,123,False,15000000,tt2980516,en
242582,Nightcrawler,7.703,10032,Released,23/10/2014,50300000,118,False,8500000,tt2872718,en
82992,Fast & Furious 6,6.817,10021,Released,21/05/2013,788680968,131,False,160000000,tt1905041,en
75612,Oblivion,6.618,10015,Released,10/04/2013,286168572,124,False,120000000,tt1483013,en
310,Bruce Almighty,6.706,10010,Released,23/05/2003,484592874,101,False,80000000,tt0315327,en
13223,Gran Torino,7.994,10003,Released,12/12/2008,269958228,116,False,33000000,tt1205489,en
168259,Furious 7,7.238,9988,Released,1/04/2015,1515341399,137,False,190000000,tt2820852,en
211672,Minions,6.395,9969,Released,17/06/2015,1156730962,91,False,74000000,tt2293640,en
36557,Casino Royale,7.543,9959,Released,14/11/2006,599045960,144,False,150000000,tt0381061,en
18,The Fifth Element,7.53,9947,Released,2/05/1997,263920180,126,False,90000000,tt0119116,en
12405,Slumdog Millionaire,7.734,9916,Released,12/11/2008,378410542,120,False,15000000,tt1010048,en
62211,Monsters University,7,9903,Released,19/06/2013,743559607,104,False,200000000,tt1453405,en
51876,Limitless,7.186,9900,Released,8/03/2011,161849455,105,False,27000000,tt1219289,en
206647,Spectre,6.533,9893,Released,26/10/2015,880674609,148,False,245000000,tt2379713,en
84892,The Perks of Being a Wallflower,7.8,9844,Released,20/09/2012,33400000,103,False,13000000,tt1659337,en
