year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,mmr,sellingprice
2012,Toyota,Corolla,S,Sedan,automatic,2t1bu4ee0cc792976,oh,48,38620,red,black,11850,12400
2012,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk1cu623688,nj,19,32874,black,black,13200,9350
2012,Toyota,Camry,LE,Sedan,automatic,4t4bf1fk1cr206626,ga,43,40401,white,gray,12650,13600
2012,Toyota,Corolla,LE,Sedan,automatic,2t1bu4ee4cc875567,nc,27,64026,blue,gray,9075,9200
2012,Toyota,Highlander,Limited,SUV,automatic,5tddk3eh7cs125719,il,,34687,gray,,28000,27200
2012,Toyota,Corolla,LE,Sedan,automatic,2t1bu4ee8cc800628,in,,57933,white,gray,9400,10200
2012,Toyota,Avalon,Base,Sedan,automatic,4t1bk3db2cu462245,wa,43,35778,white,gray,18200,19800
2012,Toyota,Corolla,LE,Sedan,automatic,5yfbu4ee9cp024560,oh,42,32967,black,gray,10750,10600
2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk0cu109119,ga,42,29724,white,black,14700,14700
2012,Toyota,Camry,XLE,Sedan,automatic,4t1bk1fkxcu500399,oh,23,43480,gray,gray,16050,14300
2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk0cu203341,oh,36,17781,black,black,15250,16000
2012,Toyota,Corolla,LE,Sedan,automatic,5yfbu4ee3cp035005,tx,44,57528,silver,gray,9425,9500
2012,Toyota,Camry Hybrid,XLE,Sedan,automatic,4t1bd1fk6cu030477,tn,37,48319,white,beige,17450,15700
2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk6cu044647,la,,31140,silver,,14650,9500
2012,Toyota,Camry Hybrid,XLE,Sedan,automatic,4t1bd1fk0cu041135,az,47,16642,black,gray,20800,22000
2012,Toyota,Corolla,LE,Sedan,,2t1bu4ee3cc810726,in,,55489,silver,,9550,10200
2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk5cu054456,ga,44,44186,silver,black,14000,14300
2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk7cu075521,ga,25,25770,�,gray,14900,13400
2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk1cu014567,oh,34,36711,silver,black,14350,13900
2012,Toyota,Highlander,Base,SUV,automatic,5tdbk3eh1cs101746,wi,,41944,gray,gray,22300,20400
2012,Toyota,Corolla,S,Sedan,automatic,2t1bu4ee2cc845063,az,27,23591,red,black,12700,10200
2012,Toyota,Camry,XLE,Sedan,automatic,4t1bf1fk8cu534376,ga,35,28416,�,gray,15900,15400
2012,Toyota,Camry,LE,Sedan,automatic,4t4bf1fk5cr248510,oh,45,27771,blue,gray,13400,13400
2012,Toyota,Camry,LE,Sedan,automatic,4t4bf1fk7cr235497,az,37,28083,gray,beige,13400,13500
2012,Toyota,Camry,LE,Sedan,,4t4bf1fk4cr250278,pa,32,9002,blue,gray,14550,13600
2012,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk3cu573506,ga,29,51140,red,beige,11950,10900
2012,Toyota,Camry,LE,Sedan,automatic,4t4bf1fk0cr252142,oh,19,19710,silver,gray,13900,11800
2012,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk5cu512254,sc,,106170,white,gray,10200,10500
2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk5cu044784,tn,38,24696,�,black,14900,14300
2012,Toyota,Corolla,LE,Sedan,automatic,2t1bu4ee2cc788993,wi,36,45600,red,tan,10050,7700
2012,Toyota,Camry,LE,Sedan,,4t4bf1fk2cr205307,nj,27,27063,black,gray,13450,13300
2012,Toyota,Camry Hybrid,XLE,Sedan,automatic,4t1bd1fk1cu025946,oh,29,72038,gray,gray,15650,14300
2012,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk3cu003151,mn,29,25264,silver,gray,13600,12800
2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv8cw192319,ca,24,56679,brown,gray,13400,12250
2012,Toyota,RAV4,Sport,SUV,automatic,jtmrf4dv1c5054384,pa,41,48940,silver,black,16100,16300
2012,Toyota,Prius c,Two,Hatchback,automatic,jtdkdtb3xc1010992,nj,37,56744,orange,black,11350,11400
2012,Toyota,Prius Plug-in,Base,Hatchback,automatic,jtdkn3dp5c3009377,pa,4,86104,silver,black,16050,15900
2012,Toyota,Tacoma,PreRunner,Double Cab,automatic,5tfjx4gn3cx006976,pr,48,27816,white,gray,21200,22000
2012,Toyota,Yaris,Fleet,Sedan,automatic,jtdbt4k30cl012456,il,2,64548,silver,black,8100,6500
2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv1cw181825,oh,38,36048,black,gray,15600,15100
2012,Volkswagen,CC,Sport,Sedan,automatic,wvwmn7an1ce540261,fl,41,22991,blue,beige,14050,14700
2012,Toyota,Tacoma,PreRunner,Double Cab,automatic,5tfjx4gn9cx014323,ga,3,28073,black,gray,21400,19100
2012,Toyota,Tundra,Limited,CrewMax Cab,automatic,5tfhy5f14cx264388,az,4,22304,silver,gray,34500,34000
2012,Toyota,Prius,Three,Hatchback,automatic,jtdkn3du7c1501734,ga,29,53958,silver,gray,14350,12400
2012,Toyota,Sienna,LE 8-Passenger,Minivan,automatic,5tdkk3dc8cs194092,oh,19,35506,silver,gray,17750,14500
2012,Volkswagen,CC,Sport,Sedan,automatic,wvwmn7an6ce507711,mi,43,49074,silver,black,12650,12800
2012,Volkswagen,CC,Sport,Sedan,automatic,wvwmn7an4ce503835,tx,43,66010,blue,beige,11750,11300
2012,Toyota,Venza,LE,Wagon,automatic,4t3za3bb0cu057917,fl,39,68525,gray,gray,14250,14300
2012,Toyota,Tacoma,PreRunner V6,Double Cab,automatic,5tfju4gn2cx019016,fl,,80194,white,gray,19700,19800
2012,Volkswagen,Beetle,2.5L PZEV,Hatchback,,3vwjp7at1cm632490,pa,,21949,silver,,11800,12100
2012,Toyota,Tundra,Limited,CrewMax Cab,automatic,5tfhy5f11cx224818,mi,46,40240,black,black,32100,31500
2012,Toyota,Prius c,Two,Hatchback,automatic,jtdkdtb31c1517389,fl,,129623,white,gray,10750,9700
2012,Toyota,RAV4,Limited,SUV,automatic,2t3dk4dv6cw070398,nj,47,15204,beige,tan,22600,22900
2012,Toyota,Highlander,Limited,SUV,,5tddk3eh9cs131909,pa,44,58672,white,gray,25700,27700
2012,Volkswagen,CC,Sport PZEV,Sedan,automatic,wvwmp7an9ce542009,nv,46,50982,gray,beige,11150,13700
2012,Volkswagen,CC,Sport PZEV,Sedan,automatic,wvwmp7anxce535604,wa,,55090,silver,black,12350,13000
2012,Toyota,Prius c,Two,Hatchback,automatic,jtdkdtb31c1500589,pr,4,30266,silver,gray,12350,11500
2012,Toyota,Yaris,Fleet,Sedan,automatic,jtdbt4k33cl044074,pr,38,46295,gray,black,8525,9100
2012,Toyota,Yaris,Fleet,Sedan,automatic,jtdbt4k31cl022803,pr,34,10362,gray,black,10250,8500
2012,Toyota,Venza,Limited,Wagon,automatic,4t3zk3bb4cu051793,nj,,90951,white,,19850,17000
2012,Toyota,Tacoma,Base,Access Cab,manual,5tfux4en9cx014435,oh,45,38951,red,beige,20400,19700
2012,Toyota,Tundra,Limited,Double Cab,automatic,5tfby5f13cx259544,mi,34,46327,white,gray,29200,28500
2012,Toyota,Sienna,XLE 7-Passenger,Minivan,,5tddk3dc0cs031980,pa,41,24897,gray,gray,29100,30400
2012,Toyota,Tundra,Tundra,CrewMax Cab,automatic,5tfey5f1xcx116832,ga,49,74434,white,silver,21100,21600
2012,Toyota,Venza,XLE,Wagon,,4t3zk3bb4cu047551,tx,,24317,black,,22200,21400
2012,Toyota,Prius,Three,Hatchback,automatic,jtdkn3du1c1483702,oh,25,17073,red,gray,16450,14300
2012,Toyota,Tundra,Tundra,Double Cab,automatic,5tfum5f17cx027825,ny,,89221,white,,18750,17000
2012,Toyota,RAV4,Limited,SUV,automatic,2t3df4dv9cw217804,pa,46,32292,white,gray,19400,19750
2012,Toyota,Tundra,Tundra,CrewMax Cab,automatic,5tfdy5f11cx225711,ca,,24299,white,,29900,31500
2012,Toyota,Prius Plug-in,Base,Hatchback,automatic,jtdkn3dp2c3013905,mo,25,24466,white,gray,19100,17000
2012,Toyota,Tundra,Tundra,Double Cab,automatic,5tfru5f13cx026256,ga,24,67010,silver,gray,14900,12700
2012,Toyota,Tacoma,PreRunner V6,Double Cab,automatic,5tfju4gn5cx026638,pr,45,12672,black,gray,24900,24500
2012,Toyota,Yaris,L,Hatchback,automatic,jtdktud37cd506031,ny,37,24297,gray,gray,9325,9550
2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dvxcw200257,oh,43,47718,blue,gray,14300,15600
2012,Volkswagen,Beetle,2.5L PZEV,Hatchback,automatic,3vwjp7at2cm611082,in,28,27883,white,black,11400,10200
2012,Toyota,RAV4,Base,SUV,automatic,2t3zf4dv1cw111403,sc,42,56301,brown,beige,13200,12000
2012,Toyota,Tacoma,V6,Double Cab,automatic,3tmlu4en5cm090986,pa,31,13391,gray,gray,27600,25600
2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv0cw192539,oh,47,40674,brown,tan,14950,15400
2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv9cw207698,oh,38,32106,silver,gray,15750,15300
2012,Toyota,Tacoma,V6,Double Cab,automatic,3tmlu4en0cm099790,fl,,41488,gray,gray,25800,23900
2012,Volkswagen,CC,Sport,Sedan,automatic,wvwmn7anxce542462,fl,37,37360,black,beige,13300,15000
2012,Volkswagen,CC,Sport PZEV,Sedan,manual,wvwnp7an2ce532703,nv,,65932,white,,10250,9600
2012,Toyota,Prius,Three,Hatchback,automatic,jtdkn3du2c5432024,tn,25,40386,silver,gray,14400,12500
2012,Toyota,Yaris,LE,Hatchback,automatic,jtdktud32cd531693,ne,2,49010,white,black,9075,3300
